台本,2s視聴率,CTR,CVR,CV数,CTR×CVR
"""貯金額が可視化されたらどうなるのか
A： もう...ほんっと今月カツカツでさ...（150万）
B： そうだよね...（600万→601万）+10,000
A： 夫の給料変わんないのに、ほんとに最近物価高くて...スーパー行くたびにビックリするもん（150万）
B： 分かる...（601万→603万）+20,000みたいな
A： ゆかりちゃんちは最近どう...？（150万）""
B： そうだね...でも最近ちょっと余裕ができたかな(603万→605万）+20,000
A：え、てかさっきからなんで数字増えてるの？（150万）
B： 実は...半年前から副業始めて（605万→606万）+10,000
A： えっ副業？！パートとか？（150万）
B： ううん、AI副業。それで最近ちょっと余裕出てきて...（606万→608万）（+20,000）
A： AI副業？何それ？稼げるの？（150万）
B： こうしてる間もAIが自動で稼いでくれてる、ほら！（608万→610万）（+20,000)）
A： え、もう10万も増えてるじゃん！どこで覚えたのそんなの？
B： SHIFT AIっていうところの無料セミナーで教えてもらったの
A： 無料？怪しくない？
B： 私も最初そう思ったけど...AI専門家の木内さんって人がやってて、あのキングコング西野さんも認めてる人らしいんだよね。
B： 2時間だけで、私みたいなパソコン苦手な人にも、１から全部教えてくれるの。
A：まじか。。！
B：今ではたまに外食もできるようになったよ
A： すごすぎる...
B： しかも今なら無料でAI副業案件集とかの特典ももらえるらしい
B： 人気で申し込みが殺到してるみたいだから、興味あるなら早めに申し込んだ方がいいかも",0.02%,1.86%,0.83%,4,0.015%
"""副業で月7桁稼げるようになる
最新AIはコレ""
例えば
""Perplexityは
情報検索に特化していて""
""市場調査や競合分析を
ChatGPTの10倍早く
正確にまとめてくれるし""
""Gensparkを使えば
3日かかるスライドが
たった5分で作れる""
このような最新のAIの情報をどこで入手したらいいか正直分からない人が多い
""そこで日本最大級のAIコミュニティの
無料AIセミナーが現在開催中""
""実はこの無料セミナー
AI専門家の木内さんが運営していて、""
話題のAIの最新情報から仕事への活用術まで教えてくれるから、明日からの仕事が10倍楽に
""実際に参加した人からは
具体的なAIの最新情報が聞ける
講義の質が高いとの声も""
""今だけ参加者限定で
AIツール辞典を含む豪華12大特典がもらえる""
""既に100,000人が参加した超人気無料セミナーなので
枠が埋まる前にLINE追加して予約""",0.06%,1.56%,3.60%,4,0.056%
"""まだChatGPTしか使ってない人
正直時代遅れです""
例えば
""Claudeは
情報分析に特化していて""
""資料の読み込みを行うだけで
具体のアクションの
提案までしてくれるし""
""Gammaは
高品質なスライドを
たった5分で作れる""
このような最新のAIの情報をどこで入手したらいいか正直分からない人が多い
""そこで日本最大級のAIコミュニティの
無料AIセミナーが現在開催中""
""実はこの無料セミナー
AI専門家の木内さんが運営していて、""
話題のAIの最新情報から仕事への活用術まで教えてくれるから、明日からの仕事が10倍楽に
""実際に参加した人からは
具体的なAIの最新情報が聞ける
講義の質が高いとの声も""
""今だけ参加者限定で
AIツール辞典を含む豪華12大特典がもらえる""
""既に100,000人が参加した超人気無料セミナーなので
枠が埋まる前にLINE追加して予約""",0.04%,1.93%,2.02%,4,0.039%
"はぁ、また今日も終電か...
こんだけ働いても給料据え置きしんどいわ...
久しぶり。私は5年後の君だよ。警告しに来た。
5年後の俺？
これが5年後の君の現実だ。
AIに仕事を奪われて、収入激減。
なぜこんなことが...
AIを学ばずに、時代に取り残されたから。
こんな未来が待ってるのか...
でも、SHIFT AIでAI副業を学んでいれば、
月収3倍、完全自由な生活を手に入れた。
たった2時間のセミナーで、こんなに変わるなんて。
何もしないと未来は暗いまま。
AIを味方につければ、未来は変わる。
AI専門家の木内翔太先生の無料セミナーで全部教えてくれる。
このチャンスを逃したら手遅れだぞ。
こんな未来は嫌だ！
次会う時は、自由な君でいてくれ。
SHIFT AIの無料セミナーに参加して、未来を変えませんか？
今すぐ動画下から詳細確認してください。",0.16%,1.79%,8.70%,4,0.156%
"【ママを信じない娘vsAI副業を始めたママ】	
AI副業？何それ怪しすぎない？	
お母さん大丈夫？	
	全然大丈夫よ！（笑）
	テレビでもオススメされてたし
	""家事の合間とか隙間時間に
パソコン開いて文章をコピペするだけなの！""
""え、絶対嘘じゃん！
しかもAIってなんか難しそうだし
私も分かんないのに
どこでそんなの覚えたの？""	
	""たまたま見つけた
ここの無料セミナーで教えてもらったよ！""
何それ？お母さん、絶対騙されてるよ！	
マジで止めた方が良いって	
	いや、それが本当に良かったのよ
	""本当に2時間でAIの使い方から
月10万までの稼ぎ方とかぜーんぶ教えてくれたの""
""え、絶対嘘じゃん
お母さん洗脳されてない？大丈夫？""	
	""私みたいな人もたくさんいたから大丈夫！
実際に参加した人の中には
3週間で月収7万とか
約1ヶ月で20万稼いだ人もいるんだって！""
""お母さんそれ本当？
そういう人たちは元々頭良かっただけじゃない？
どうせお金とか取られるんでしょ！""	
	""いや、それが
本当に無料で教えてくれたんだよね！""
""え、ほんと？でもおかしくない？
なんでそんなこと無料で教えてくれるの？""	
	""実はこれXのフォロワーが10万人以上いる
AI専門家の木内さん？って人が運営してるセミナーで""
	""木内さんの
「日本をAI先進国に」という想いから
今だけ完全無料らしいの！""
""木内さん？
調べてみたらabemaとかにも出てるじゃん。
本当にすごいひとなんだ。。。""	
	""そうそう。
しかも今だけ参加者限定で
「AI副業案件集」などの12大特典がもらえるらしくて。
私も貰えたよ、ほら。""
	""しかもオンラインで
顔出しも要らなかったから気軽に参加できたよ！""
""へー、すご
そんなセミナー参加した方が絶対良いじゃん。。。""	
""私もAI気になってるし
そんなに言うなら参加してみようかな。。。""	
	""これ、もう10万人以上が参加してる
人気無料セミナーだから""
	""興味あるなら
早めに申し込んだ方がいいよ！""",0.11%,1.60%,7.14%,3,0.114%
"""・今の給料じゃ家族養えなくて、SHIFT AIっていうセミナー始めたんだけど、
まじで〇〇しっとけばよかった""
よくある広告に釣られてSHIFT AI参加してみたけどまじで後悔してる
友達の真似して、ノリでこのセミナー参加してみたけど、まじで後悔してる
まぁ確かに
SHIFT AIのおかげで
AIの使い方も教えてもらったし
実際に副業とってくるとこまで
サポートしてくれたから、そこはめっちゃ満足してるんだけど、
それでもガチで後悔してる
だって今なら一万円かかるセミナー費用が無料なんだよ
まじで私の金返してくれよ、、
しかもなんか今、
ここから申し込むとAI副業案件集など含む１2大特典までついてくるらしいよ
いやこれから行ける人ラッキーすぎでしょ
マジで羨ましいわ、
でもこの無料セミナーは二周年記念キャンペーンで
枠が埋まったらすぐ終わっちゃうらしいから
少しでも興味ある人は
下の詳細から予約してみて


キャンペーン入れるか、木内入れるか
限定配信入れてここからの理由作る",0.09%,1.15%,7.50%,3,0.086%
"""無駄な隙間時間活用したい人、
長く稼げるスキル欲しい人、
10年後も通用するスキル欲しい人、
本業超える収入欲しい人、
月20万以上稼げるスキル欲しい人、
今より稼げる副業探してる人、
今の収入じゃ足りない人、
次世代技術に興味ある人
新しいツール触るの好きって人、""
""この副業絶対天職
１分で紹介します""
私がやった副業、それはAI使った副業
とはいえAI副業って、難しそうなイメージじゃないですか
でも実際のAI副業は、誰でもできる身近な副業なんです
ではなんでAI？って思うかもしれませんが、
AI人材の市場規模ってこの5年で180兆円になるって言われていて、
企業がAI人材を欲しがってるのに、使いこなせる人が足りないから需要過多になってるんですね。
""なので1案件10万〜50万の高単価で依頼が来るから
稼ぎやすさが他の副業と比べて段違いなんです""
そんな中、あのキングコング西野さんも認めたAI専門家の木内さんが、たった2時間で、しかも無料でAIの使い方から月10万稼ぐ方法まで教えてくれるんです。
実際、参加した人の中には4ヶ月で月収100万、1ヶ月で250万稼いでる人もいるらしいんですよね
私は本業があったので、隙間時間だけでやったけど、それでも月30万はゲットできました
しかも今ならこの無料セミナーに加えて、
AI副業案件集とかの12大特典も無料でもらえるらしいから、
予約が埋まる前に今すぐ詳細チェックしてみて",0.11%,1.64%,6.52%,3,0.107%
"""フル出社からの解放
リモートワークになって人生変わった
30代独身男性の平日ルーティーン""
新卒でエンジニアとして入社したけど
""毎日終電帰りで
なかなか自分の時間を確保できない...""
""お金は稼ぎたいけど
さすがに
今の生活をずっと続けるのは...""
そう思って考え始めた副業
""物販だったり、ポイ活だったり
色んな副業試してみたけど""
全部うまくいかなかった
AI副業なら忙しくて時間なくても稼げるって聞いて
参加した無料セミナーが大正解
ChatGPTすら触ったことなくて不安だったけど
""初心者から月10万稼ぐ方法を丁寧に教えてくれたから
僕でも大丈夫だった""
実はこれ、AI専門家で日本最大級の生成AIコミュニティを運営している木内さんがやってる無料セミナーで
木内さんの日本をAI先進国にという想いから、今なら完全無料で参加できるみたい
前の僕みたいに
貯金も時間も増やしたいよって人は
LINE追加して無料セミナー予約してみて",0.05%,1.22%,4.17%,3,0.051%
"日本の10人に1人が副業してるっていうデータがあって
その中でちゃんと稼げる人ってほんの一握りしかいないんですけど
""今回僕がめちゃめちゃ分かりやすく
副業での稼ぎ方を
教えてあげます""
""結論、AI使ってください
っていうのも例えば9時から18時まで働いて、自分の時間できるのが21時くらいだとして、そこから1時間でできる副業ってAI副業だけなんですよね""
じゃあ実際にどうやって稼ぐかって言うと、一番簡単なのはこんな感じの動画を作ってTikTokとかYouTubeに投稿することです。
TikTokなら再生単価0.05円くらいだから、この500万再生された動画一本で25万稼げちゃってます
これやり方さえ知ってれば誰でも10分くらいで作れちゃうんですけど
具体的にどのAIをどうやって使えばいいのかって調べてもなかなか分からないじゃないですか
なので本気でAI使って月10万以上稼ぎたいならここの無料セミナーだけでも行ってみてください
これはAI専門家の木内さんが運営している
今まで10万人以上が参加した「完全無料」「たった2時間」「オンライン顔出しなし」のAIセミナーです
実際にこのセミナーに参加した人で
""始めて4ヶ月で100万稼いだ人や
1ヶ月で250万稼いでる人もいます""
副業したいけど何からやったらいいか分からないって人は
詳細からLINE追加して無料セミナー参加してきてください",0.05%,0.91%,5.45%,3,0.049%
"""子育てで自分の時間少ない人
子育てでなかなか家から出られない人
家族の時間を大切にしたい人
旦那の給料だけじゃ足りない人
自分のペースで働きたい人
人と仕事するのが苦手な人
資格も経験もない人
早起きが苦手な人""
""この副業絶対天職
１分で紹介します""
私がやった副業、それはAI使った副業
とはいえAI副業って、難しそうなイメージじゃないですか
でも実際のAI副業は、普通の主婦でもできる身近な副業なんです
でもなんでAI？って思うかもしれませんが、
今小学校でもプログラミングが必修になってるくらい社会がAIを必要としてるのに、
使いこなせる大人が足りないから、普通の主婦でも重宝されるし、稼げる高単価の案件も多いんですよね
""なので1案件10万〜50万の高単価で依頼が来るから
稼ぎやすさが他の副業と比べて段違いなんです""
""そんな中、あのキングコング西野さんも認めたAI専門家の木内さんが、たった2時間で、しかも無料でAIの使い方から月10万稼ぐ方法まで教えてくれるんです。
実際、参加した人の中には4ヶ月で月収100万、1ヶ月で250万稼いでる人もいるらしいんですよね""
私は本業があったので、隙間時間だけでやったけど、それでも月30万はゲットできました
しかも今ならこの無料セミナーに加えて、
AI副業案件集とかの12大特典も無料でもらえるらしいから、
予約が埋まる前に今すぐ詳細チェックしてみて",0.20%,1.84%,11.11%,3,0.204%
"""""""実は私、
これで月15万稼いでます""""
""""実はもう『AIを使いこなせる人』と『使えない人』
の生産性に10倍差がついてます""""
""""でもAIって難しそうで、
自分で勉強するのは面倒ですよね""""
""""なので、まじでAI使って仕事楽にしたい人は
このセミナー無料で参加できるので行ってください""""
""""たった2時間でAIの使い方から
月10万稼ぐ方法とかも知れるんで""""
控えめに言って神です
実際に、この無料セミナーに参加した人の中には
""""4ヶ月で月収100万とか
約1ヶ月で250万稼いでる人もいます""""
""""実はこれ、あのキングコング西野さんも認めた 、
AI専門家の木内さんが運営しているセミナーで""""
""""木内さんの『日本をAI先進国に』という想いから
今だけ完全無料らしいです""""
しかも今だけ参加者限定で
""""『ChatGPT大全』などの豪華10大特典がもらえるんで、
明日から仕事楽にできちゃいます""""
""""さらに、オンラインで顔出し不要なので、
誰でも気軽に参加できます""""
枠が埋まったら即終了なので、
""""AI身につけたい人は今すぐLINE追加して
無料セミナー予約してみてください""""""",0.13%,0.78%,16.67%,3,0.131%
"ChatGPTを超える最強AIはコレ
例えばPerplexityは情報検索に特化していて、市場調査や競合分析をChatGPTの10倍早く正確にまとめてくれるし
Gensparkを使えば3日かかるようなスライドがたった5分で作れるようになる
このような最新のAIの情報をどこで入手したらいいか正直分からない人が多い
日本最大級のAIコミュニティの無料AIセミナーが現在開催中
""実はこの無料セミナー
AI専門家の木内さんが運営していて、""
話題のAIの最新情報から仕事への活用術まで教えてくれるから、明日からの仕事が10倍楽に
""実際に参加した人からは
具体的なAIの最新情報が聞ける
セミナーの質が高いとの声が多数""
""しかも今だけ参加者限定で
AIツール辞典を含む豪華12大特典がもらえる""
""既に100,000人が参加した超人気無料セミナーなので
枠が埋まる前にLINE追加して予約""",0.01%,1.81%,0.69%,3,0.012%
"""""""実は私、
これで月15万稼いでます""""
""""実はもう『AIを使いこなせる人』と『使えない人』
の生産性に10倍差がついてます""""
""""でもAIって難しそうで、
自分で勉強するのは面倒ですよね""""
""""なので、まじでAI使って仕事楽にしたい人は
このセミナー無料で参加できるので行ってください""""
""""たった2時間でAIの使い方から
月10万稼ぐ方法とかも知れるんで""""
控えめに言って神です
実際に、この無料セミナーに参加した人の中には
""""4ヶ月で月収100万とか
約1ヶ月で250万稼いでる人もいます""""
""""実はこれ、あのキングコング西野さんも認めた 、
AI専門家の木内さんが運営しているセミナーで""""
""""木内さんの『日本をAI先進国に』という想いから
今だけ完全無料らしいです""""
しかも今だけ参加者限定で
""""『ChatGPT大全』などの豪華10大特典がもらえるんで、
明日から仕事楽にできちゃいます""""
""""さらに、オンラインで顔出し不要なので、
誰でも気軽に参加できます""""
枠が埋まったら即終了なので、
""""AI身につけたい人は今すぐLINE追加して
無料セミナー予約してみてください""""""",0.01%,1.04%,1.32%,3,0.014%
"AI副業極めて
遂に月7桁突破しました！
""数年前まではAI副業って何？怪しくない？
って感じだったのに""
""今ではダラダラしてるだけで
上司より稼げちゃうのすごくない？""
""AIとか難しそう、怪しいって
思ってる人は""
""自己流で勉強して損する前に
ここの無料セミナーに参加してみて！""
私も実際に参加してみたら
""たった2時間でAIの使い方から
月10万稼ぐ方法とかも知れたから""
控えめに言って神でした
実際に、参加した人の中には
""4ヶ月で月収100万とか
約1ヶ月で250万稼いでる人もいます""
""実はこれ、あのキングコング西野さんも認めた 
AI専門家の木内さんが運営してるセミナーで""
""木内さんの『日本をAI先進国に』という想いから
今だけ完全無料らしいです""
しかも今だけ参加者限定で
""「AI副業案件集」などの豪華12大特典がもらえるから
明日から仕事楽にできちゃいます""
""さらに、オンラインで顔出し不要なので、
誰でも気軽に参加できます""
枠が埋まったら即終了らしいから
""AI身につけたい人は
今すぐLINE追加してみて！""",0.16%,2.13%,7.69%,3,0.164%
"AIで稼げすぎてしぬ！
""ChatGPTすら使えなかったのに
AI使って月40万なのしぬ""
""おかげで給料増えない会社とはお別れ
好きな時に好きな場所で働かせてもらってます""
どうやってこの生活手に入れたか教えますね
知ってますかSHIFT AIって！
""ここの無料セミナーに参加したおかげで
モチベのネイルもできて
好きなだけ買い物して
彼とも沢山一緒にいられるのしぬ！""
""お勉強ずっと避けてきた私に
AIの使い方から月10万までの方法を教えてくれてマジで感謝""
しかも参加した人限定の特典ももらえちゃいました
""オンラインで顔出しなしでOKで
めんどくさがりな私には最高でした""
LINE追加して予約するだけなので
勝ち組になりたい人は試してみてね",0.08%,1.96%,4.29%,3,0.084%
"""40代パートの私が
AI副業で旦那の給料の2倍に""
""実はもう『AIを使いこなせる人』と『使えない人』
の生産性に10倍差がついてます""
""でもAIって難しそうで、
自分で勉強するのは面倒ですよね""
""なので、AI使って仕事楽にしたい人は
このセミナー無料で参加できるので行ってみてください""
""たった2時間でAIの使い方から
月10万稼ぐ方法とかも知れるので""
控えめに言って神です
実際に、この無料セミナーに参加した人の中には
""4ヶ月で月収100万とか
約1ヶ月で250万稼いでる人もいます""
""実はこれ、あのキングコング西野さんも認めた 
AI専門家の木内さんが運営しているセミナーで""
""木内さんの『日本をAI先進国に』という想いから
今だけ完全無料らしいです""
しかも今だけ参加者限定で
""『AI副業案件集』などの12大特典がもらえるので、
明日から仕事楽にできちゃいます""
""オンラインで顔出し不要なので、
誰でも気軽に参加できます""
枠が埋まったら即終了なので、
""AI身につけたい人は今すぐLINE追加して
無料セミナー予約してみてください""",0.04%,1.37%,3.23%,3,0.044%
"旦那の給料が低すぎんか
AIを使える主婦は、家事の合間に旦那の2倍稼いでてしぬ！
でもAIって難しそうだし、家事忙しすぎてAI勉強する時間なんてなくない？
だから今の旦那の給料に不満がある人はこのセミナー無料で参加できるので試してみて！
たった2時間でAIの使い方から月10万稼ぐ方法とかも知れて、参加して大正解
""この無料セミナーに参加した人の中には
2週間で7万とか1ヶ月で20万稼いでる人もいるらしい！秒で金持ち！""
""これXのフォロワーが10万人以上いる
AI専門家の木内さんが運営してるセミナーで""
""木内さんの「日本をAI先進国に」って想いから
今だけ完全無料で参加できんのしぬ""
""しかも参加者限定で
ここらへんの特典くれるらしい
太っ腹すぎんだろ！しぬ！""
オンラインで顔出し不要だからすっぴんでも受けれるのえぐ！天才！
これまで10万人以上が参加した人気無料セミナーだから、AIで旦那の給料超えたい人はLINE追加して無料セミナー予約して！",0.06%,2.27%,2.83%,3,0.064%
"""A：はぁ～、今月ほんとにヤバいかも...
B：そうだよね
A：夫の給料はずっと変わらないし、ボーナスも全然貰えなくて
B：分かる...
A：ゆかりちゃんちは最近どう...？""
B： そうだね...でも最近ちょっと余裕ができたかな(603万→605万）+20,000
A：え、てかさっきからなんで数字増えてるの？（150万）
B： 実は...半年前から副業始めて（605万→606万）+10,000
A： えっ副業？！パートとか？（150万）
B： ううん、AI副業。それで最近ちょっと余裕出てきて...（606万→608万）（+20,000）
A： AI副業？何それ？稼げるの？（150万）
B： こうしてる間もAIが自動で稼いでくれてる、ほら！（608万→610万）（+20,000)）
A： え、もう10万も増えてるじゃん！どこで覚えたのそんなの？
B： SHIFT AIっていうところの無料セミナーで教えてもらったの
A： 無料？怪しくない？
B： 私も最初そう思ったけど...AI専門家の木内さんって人がやってて、あのキングコング西野さんも認めてる人らしいんだよね。
B： 2時間だけで、私みたいなパソコン苦手な人にも、１から全部教えてくれるの。
A：まじか。。！
B：今ではたまに外食もできるようになったよ
A： すごすぎる...
B： しかも今なら無料でAI副業案件集とかの特典ももらえるらしい
B： 人気で申し込みが殺到してるみたいだから、興味あるなら早めに申し込んだ方がいいかも",0.07%,2.34%,3.06%,3,0.072%
"スキマ時間のAI副業で旦那の給料超えました
実はもうAIを使える主婦は、家事の合間に旦那の2倍稼いでます
でもAIって難しそうだし、家事忙しすぎてAI勉強する時間なんてないじゃないですか
なので、今の旦那の給料に不満がある人はこのセミナー無料で参加できるので試してみてください
たった2時間でAIの使い方から月10万稼ぐ方法とかも知れたので、参加して大正解でした
""実際に、この無料セミナーに参加した人の中には
2週間で7万とか1ヶ月で20万稼いでる人もいます""
""実はこれXのフォロワーが10万人以上いる
AI専門家の木内さんが運営してるセミナーで""
""木内さんの「日本をAI先進国に」という想いから
今だけ完全無料で参加できるらしいです""
""しかも今だけ参加者限定で
「AI副業案件集」などの12大特典がもらえるんで、
次の日から収益化目指せちゃいます""
オンラインで顔出し不要なので、そういうのが苦手な人でも安心です
これまで10万人以上が参加した人気無料セミナーなので、AIで旦那の給料超えたい人はLINE追加して無料セミナー予約してみてください",0.05%,1.89%,2.42%,3,0.046%
"""ママ友には
絶対言えんけど""
""いまだにAI副業
始めてないって""
ヤバいかも💦
""これ、テレビでも
オススメされてたんだけど""
""家事の合間とか隙間時間に
PC開いて
プロンプト入力するだけ！""
こんなにもらえるの...!?
""でもAIって難しそうだし
家事忙しすぎて
AI勉強する時間なんて全くありませんでした...""
""そこで出会ったのが
この無料オンラインセミナー""
""たった2時間で
AIの使い方から月10万稼ぐ方法とかも知れたので
参加して大正解でした""
""実際に
この無料セミナーに参加した人の中には
3週間で月収7万
約1ヶ月で20万稼いでる人もいます""
""実はこれXのフォロワーが10万人以上いる
AI専門家の木内さんが運営してるセミナーで""
""木内さんの
「日本をAI先進国に」という想いから
今だけ完全無料で参加できるらしいです""
""しかも今だけ参加者限定で
「AI副業案件集」
などの12大特典がもらえるんで、
次の日から収益化目指せちゃいます""
""オンラインで顔出し不要なので
そういうのが苦手な人でも安心です""
""これ、10万人以上が参加した
人気無料セミナーなので""
""AI副業少しでも気になる人は
無料セミナーだけでも予約してみてください""",0.04%,2.89%,1.27%,2,0.037%
"""実は私
これで月15万稼いでます""
""これ、テレビでも
オススメされてたんだけど""
""家事の合間とか隙間時間に
PC開いて
プロンプト入力するだけ！""
こんなにもらえるの...!?
""でもAIって難しそうだし
家事忙しすぎて
AI勉強する時間なんて全くありませんでした...""
""そこで出会ったのが
この無料オンラインセミナー""
""たった2時間で
AIの使い方から月10万稼ぐ方法とかも知れたので
参加して大正解でした""
""実際に
この無料セミナーに参加した人の中には
3週間で月収7万
約1ヶ月で20万稼いでる人もいます""
""実はこれXのフォロワーが10万人以上いる
AI専門家の木内さんが運営してるセミナーで""
""木内さんの
「日本をAI先進国に」という想いから
今だけ完全無料で参加できるらしいです""
""しかも今だけ参加者限定で
「AI副業案件集」
などの12大特典がもらえるんで、
次の日から収益化目指せちゃいます""
""オンラインで顔出し不要なので
そういうのが苦手な人でも安心です""
""これ、10万人以上が参加した
人気無料セミナーなので""
""AI副業少しでも気になる人は
無料セミナーだけでも予約してみてください""",0.07%,2.77%,2.53%,2,0.070%
"【AIを疑ってる人vsAIで月50万稼いでいる友達】	
（口座画面スタートで見上げる）	
お前本当にこれ稼いでるん？	
	そーだよ
絶対嘘だろ、、、証拠は？	
	ほら（口座見せる）
へー（まだ疑ってる感じ、表情でも出したい）	
でもどうやって稼いだんだよ	
	""まずはChatGPTで
もとになる画像を生成！""
	""作りたい画像の
特徴を打つだけで完成""
	""アイディアが思いつかなかったら
それもChatGPTに聞くだけ""
	""次にKlingAIで
生成した画像を動かす""
	してほしい動きをここに入力
	""これだけで
バズる動画が完成！その収益で稼いでるぞ""
そんな稼げるんだ〜〜	
	""お前今絶対AIは勉強しといた方がいいぞ。
みんな難しいとか言って勉強しないからな""
でも難しいのは実際そうなんだろ。	
	""まあ確かに1人で勉強するのは簡単じゃないかもしれん。
でも俺は2時間無料で教えてもらったぞ""
え、2時間無料？？どういうこと？	
	""実は今あのキングコング西野さんも認めた
AI専門家の木内さんっていう人が""
	""「日本をAI先進国に」っていう思いから
今だけ完全無料で教えてくれるんだ""
マジ？どこで教えてくれるの？？	
	""ここの無料セミナーで
教えてもらったぞ""
	""しかも今なら
無料でAI副業案件集とかの
特典ももらえるらしい""
	""人気で申し込みが
殺到してるみたいだから、
興味あるなら早めに
申し込んだ方がいいぞ！""",0.06%,1.60%,3.51%,2,0.056%
"""質問来てた！
副業始めたいのですが、月15万円以上稼げる副業ってありますか？""


結論から言うと
令和の時代に賢く稼ぐなら、AIを使った副業が一番！


今AIがめちゃくちゃバズってて、AI使える人が全然足りないから
簡単なAI作業でも時給が他の副業より圧倒的に高いんだよね

でも「AIって難しそう...」「パソコン苦手だし...」って思うでしょ？

そんなあなたにSHIFT AIがおすすめ！
あのキングコング西野さんも認めたAI専門家の木内さんが
たった2時間でAIの使い方から稼ぎ方まで教えてくれるよ

実際に参加した人の中には、3ヶ月目で20万、半年で100万稼いでる人も続出してるんだよね！

しかも、通常10,000円のところ今だけ無料みたいよ

令和の時代に効率よく稼ぎたいなら
AI副業一択だよ
したの詳細からチェックしてみて！",0.04%,1.01%,3.51%,2,0.036%
